id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,19397574
4,이,1278830
5,는,1053225
6,가,986153
7,어,866003
8,고,850455
9,지,835996
10,해,810751
11,에,758505
12,그,708939
13,하,688357
14,줘,605564
15,아,556772
16,서,556452
17,게,541586
18,나,535240
19,있,505000
20,기,501289
21,다,498852
22,도,498210
23,시,466923
24,로,448051
25,주,431801
26,니,404518
27,거,373689
28,요,366107
29,보,353313
30,을,349837
31,데,348939
32,수,344086
33,한,341871
34,라,336071
35,리,335916
36,은,330146
37,까,325175
38,내,319962
39,면,318689
40,려,316095
41,야,313580
42,일,306220
43,알,301871
44,사,296948
45,래,296315
46,오,277930
47,들,263734
48,으,260399
49,제,259875
50,자,247028
51,인,241188
52,금,210580
53,안,210521
54,마,210352
55,부,203076
56,좀,197440
57,러,192844
58,정,192757
59,간,190652
60,스,189671
61,여,189600
62,를,185570
63,전,181945
64,대,172680
65,원,171492
66,화,170401
67,생,166219
68,더,158678
69,만,151766
70,장,150309
71,우,148763
72,차,147474
73,번,147197
74,구,145517
75,실,145202
76,세,144330
77,디,142553
78,할,141285
79,약,138148
80,비,137158
81,되,136076
82,트,135584
83,런,131868
84,문,131866
85,무,130772
86,같,128818
87,치,125848
88,예,125316
89,먹,124841
90,진,124015
91,말,123441
92,의,123021
93,상,122862
94,료,122431
95,것,122294
96,람,120064
97,봐,114580
98,좋,114412
99,드,113660
100,때,112941
101,음,111507
102,겠,110355
103,출,109341
104,호,107082
105,탁,106857
106,위,103757
107,렇,102963
108,줄,101674
109,몇,100735
110,운,99428
111,식,99121
112,동,98960
113,뭐,97957
114,공,97695
115,싶,97230
116,많,96099
117,근,95985
118,과,94559
119,영,94041
120,네,93061
121,선,93042
122,소,91191
123,잖,90948
124,늘,89095
125,직,88727
126,모,88236
127,방,87398
128,강,86487
129,건,83348
130,행,83195
131,었,81992
132,또,81177
133,산,80446
134,했,78094
135,메,77599
136,신,76737
137,찾,76736
138,얼,76295
139,든,75166
140,저,74408
141,없,74210
142,집,74065
143,열,73785
144,조,73734
145,각,73276
146,터,72512
147,너,72398
148,르,71662
149,경,70255
150,관,70002
151,님,69828
152,외,69536
153,걸,69430
154,확,68702
155,와,66785
156,물,65809
157,언,65005
158,날,64724
159,뉴,64257
160,중,63347
161,계,63297
162,처,62221
163,테,62169
164,용,62123
165,교,61837
166,검,61517
167,체,61293
168,바,60932
169,불,60796
170,분,59554
171,항,59212
172,역,58228
173,설,58105
174,재,58056
175,연,56882
176,잘,56495
177,노,56365
178,속,55591
179,당,55029
180,색,54122
181,두,52797
182,십,52295
183,명,52272
184,배,51793
185,애,50923
186,개,50911
187,청,50504
188,버,50330
189,결,50176
190,달,49746
191,곳,49718
192,히,49147
193,적,49117
194,매,49063
195,통,49038
196,유,48709
197,돼,48692
198,회,48633
199,점,48276
200,빨,47913
201,철,47882
202,켜,47777
203,떻,47694
204,미,47574
205,록,47305
206,단,47282
207,능,47101
208,프,46703
209,작,46664
210,랑,46643
211,던,46030
212,국,45945
213,받,45552
214,카,44753
215,크,44722
216,남,44482
217,레,44406
218,않,44326
219,추,43976
220,발,43842
221,살,43664
222,워,43364
223,막,43049
224,맞,42859
225,볼,42633
226,급,42401
227,티,42381
228,타,42316
229,못,40293
230,격,39723
231,틀,38882
232,표,38085
233,온,37627
234,삼,37613
235,갔,37430
236,길,37429
237,천,37416
238,심,37168
239,접,37139
240,갈,37022
241,른,35975
242,브,35964
243,맛,35878
244,았,35817
245,등,35513
246,왔,34500
247,느,34302
248,올,33883
249,얘,33778
250,된,33710
251,편,33175
252,성,33030
253,책,33025
254,씨,32959
255,울,32874
256,술,32302
257,파,32107
258,별,31822
259,층,31723
260,현,31708
261,김,31702
262,냥,31572
263,복,31359
264,떤,31305
265,품,31096
266,목,30818
267,환,29841
268,키,29498
269,반,29182
270,병,29013
271,년,28727
272,피,28549
273,류,28471
274,학,28440
275,필,28055
276,짜,27871
277,법,27871
278,본,27829
279,양,27356
280,민,27337
281,쪽,27074
282,택,26888
283,휴,26645
284,넣,26642
285,석,26567
286,감,26492
287,월,26340
288,잡,26320
289,최,26081
290,따,25958
291,변,25732
292,입,25456
293,업,25125
294,돌,25110
295,엄,24517
296,새,24443
297,랬,24325
298,창,24289
299,텔,24134
300,겨,24132
301,력,23926
302,후,23914
303,꺼,23821
304,봤,23619
305,즘,23603
306,순,23454
307,냐,23346
308,궁,23227
309,혼,23138
310,끝,22597
311,착,22571
312,즐,22318
313,백,22302
314,렴,21960
315,송,21885
316,초,21882
317,승,21521
318,권,21394
319,돈,21052
320,증,20897
321,습,20785
322,밥,20664
323,합,20644
324,잔,20391
325,포,20388
326,놓,20348
