id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,15801050
4,이,1285661
5,는,1050278
6,가,989761
7,어,868758
8,고,855890
9,지,833822
10,해,802429
11,에,751841
12,그,723042
13,하,689955
14,줘,589145
15,아,567866
16,서,559159
17,게,543024
18,나,535639
19,다,507801
20,기,502604
21,있,501634
22,도,501450
23,시,462958
24,로,447880
25,주,426119
26,니,410499
27,거,379520
28,요,367410
29,보,355348
30,데,351387
31,을,347581
32,한,341521
33,수,340708
34,리,337079
35,라,336824
36,은,333276
37,까,325529
38,야,318438
39,면,317147
40,내,316302
41,려,307098
42,일,302960
43,래,296695
44,사,296209
45,알,293240
46,오,275629
47,들,269818
48,제,264444
49,으,260894
50,자,247675
51,인,237231
52,안,210450
53,금,210253
54,마,209212
55,부,202102
56,좀,198330
57,러,193799
58,정,192664
59,여,190673
60,간,187673
61,스,186485
62,를,184209
63,전,181272
64,대,171205
65,원,169619
66,화,166895
67,생,166716
68,더,160631
69,만,152108
70,우,149764
71,번,146549
72,장,146015
73,구,145603
74,차,145431
75,실,143613
76,세,141223
77,할,140678
78,디,140385
79,약,136237
80,되,135760
81,비,135693
82,트,133152
83,런,131912
84,문,131068
85,같,130721
86,무,129959
87,예,124779
88,말,124518
89,진,123877
90,치,123662
91,상,122146
92,것,121367
93,의,120918
94,료,120714
95,람,119420
96,먹,118026
97,좋,114440
98,봐,113997
99,때,113339
100,드,112485
101,겠,110938
102,음,109938
103,출,107888
104,탁,106333
105,호,105483
106,렇,104568
107,뭐,102506
108,위,101412
109,동,99368
110,줄,99247
111,운,98777
112,몇,98453
113,많,97800
114,근,97434
115,싶,96898
116,공,96813
117,식,96717
118,네,96111
119,잖,93923
120,과,92566
121,선,92225
122,영,92149
123,소,89563
124,모,88647
125,직,88243
126,늘,87482
127,방,86162
128,강,85531
129,건,84736
130,또,84246
131,행,83133
132,었,81475
133,산,80989
134,했,78636
135,신,76873
136,저,76801
137,메,76656
138,찾,75277
139,없,75230
140,든,74636
141,얼,74569
142,각,73846
143,집,73518
144,열,72938
145,너,72644
146,조,72415
147,르,71819
148,터,71417
149,님,69950
150,걸,69584
151,외,69494
152,경,68963
153,관,67604
154,와,67079
155,확,66632
156,언,66020
157,날,65563
158,물,64493
159,중,63948
160,뉴,63556
161,계,62829
162,교,62501
163,테,62123
164,바,61355
165,용,61025
166,처,60847
167,체,60247
168,불,60148
169,분,58406
170,검,58187
171,잘,58044
172,항,57790
173,설,57512
174,재,57167
175,역,56147
176,노,55702
177,연,55664
178,속,54888
179,당,54282
180,애,53799
181,두,53061
182,십,52870
183,명,52501
184,색,51811
185,배,50905
186,개,50717
187,히,50413
188,버,50117
189,달,50067
190,청,50025
191,결,49680
192,돼,49469
193,적,49356
194,곳,49252
195,유,49032
196,통,48874
197,회,48752
198,빨,48009
199,매,47786
200,점,47557
201,떻,47517
202,미,47271
203,철,46995
204,단,46932
205,켜,46929
206,랑,46772
207,국,46739
208,록,46706
209,프,46654
210,작,46403
211,능,45986
212,던,45826
213,받,45316
214,않,45031
215,남,44755
216,살,44749
217,크,44380
218,맞,44112
219,막,43984
220,레,43643
221,워,43406
222,추,43202
223,카,42904
224,발,42902
225,볼,42589
226,타,42502
227,티,42451
228,급,41821
229,못,40275
230,격,39279
231,갔,39083
232,틀,38361
233,갈,37754
234,길,37573
235,삼,37395
236,표,37385
237,온,37367
238,심,36908
239,접,36791
240,천,36323
241,았,36204
242,른,36094
243,브,35997
244,등,35522
245,왔,35347
246,얘,35158
247,맛,34745
248,올,34670
249,느,34186
250,냥,34026
251,된,33011
252,성,32882
253,씨,32836
254,편,32742
255,울,32729
256,파,32142
257,술,31958
258,별,31679
259,김,31504
260,책,31463
261,현,31404
262,층,31136
263,복,30945
264,품,30442
265,목,30177
266,떤,30119
267,환,29582
268,학,29522
269,키,29252
270,반,29051
271,년,28718
272,짜,28558
273,병,28364
274,쪽,28230
275,류,28076
276,필,27963
277,피,27926
278,본,27687
279,민,27309
280,법,27232
281,양,26905
282,석,26639
283,잡,26618
284,휴,26608
285,월,26465
286,택,26433
287,감,26378
288,따,26187
289,넣,25868
290,엄,25568
291,최,25520
292,랬,25227
293,변,25160
294,입,25113
295,돌,25004
296,업,24940
297,혼,24636
298,새,24242
299,창,24213
300,즘,23955
301,겨,23867
302,후,23828
303,봤,23780
304,냐,23564
305,순,23517
306,력,23438
307,꺼,23398
308,텔,23225
309,궁,23032
310,끝,22572
311,착,22266
312,즐,22140
313,렴,21877
314,초,21873
315,백,21583
316,습,21433
317,송,21346
318,승,21187
319,돈,21074
320,권,20862
321,증,20689
322,합,20485
323,잔,20299
324,참,20251
325,팔,20228
326,놓,20079
